,0,1
3295,-85.044575,35.161054
3294,-85.044073,35.161259
3293,-85.043738,35.161557
3292,-85.040639,35.165927
3291,-85.040052,35.167094
3290,-85.039157,35.169566
3282,-85.038308,35.18067
3283,-85.038169,35.180509
3289,-85.038121,35.173275
3288,-85.037729,35.174831
3287,-85.037449,35.176159
3286,-85.037268,35.177174
3285,-85.037267,35.177181
3284,-85.03714,35.177899
3281,-85.035373,35.186048
3280,-85.03311,35.189732
3279,-85.032802,35.190396
3278,-85.031881,35.191036
3277,-85.031714,35.191036
3276,-85.02979,35.190897
3275,-85.029483,35.190759
3274,-85.028981,35.190827
3273,-85.0282,35.191193
3272,-85.027613,35.191834
3271,-85.027501,35.192498
3270,-85.023173,35.196088
3269,-85.019963,35.198169
3268,-85.019126,35.198282
3267,-85.018484,35.198625
3266,-85.017841,35.199357
3265,-85.016668,35.200867
3255,-85.01505,35.220234
3256,-85.014553,35.216388
3254,-85.01421,35.221997
3257,-85.013943,35.214098
3258,-85.013609,35.21341
3264,-85.013565,35.205374
3259,-85.01333,35.213319
3251,-85.012886,35.230718
3260,-85.012883,35.213616
3250,-85.012743,35.232481
3252,-85.012587,35.225521
3253,-85.012448,35.224628
3249,-85.011898,35.235265
3263,-85.011803,35.208418
3262,-85.011355,35.20947
3261,-85.011327,35.209699
3248,-85.009175,35.238795
3247,-85.006928,35.24156
3246,-85.00564,35.24303
3245,-85.002264,35.242246
3244,-85.001288,35.241695
2691,-83.353884,34.698547
2690,-83.35388,34.698572
2689,-83.3537,34.699663
2692,-83.353327,34.697228
2693,-83.353325,34.697223
2694,-83.352796,34.69666
2688,-83.351866,34.701358
2687,-83.351,34.701895
2672,-83.350998,34.713252
2673,-83.350874,34.713118
2674,-83.350871,34.713115
2675,-83.350239,34.709345
2676,-83.350161,34.708876
2686,-83.349197,34.702559
2677,-83.348964,34.706731
2678,-83.348961,34.706725
2685,-83.348353,34.70287
2679,-83.347333,34.705285
2695,-83.347239,34.69454
2680,-83.347221,34.705166
2684,-83.347141,34.703622
2683,-83.346841,34.704599
2681,-83.346808,34.704727
2682,-83.346804,34.704722
2696,-83.343727,34.694158
2710,-83.341924,34.68247
2709,-83.341924,34.682471
2708,-83.34174,34.683586
2707,-83.341491,34.684065
2706,-83.341057,34.684901
2697,-83.340644,34.692
2711,-83.340619,34.680835
2698,-83.340522,34.691915
2712,-83.340378,34.680533
2705,-83.339761,34.685705
2704,-83.339499,34.685868
2713,-83.339219,34.680028
2699,-83.338671,34.689945
2703,-83.338419,34.686761
2714,-83.338303,34.679928
2702,-83.338274,34.687138
2700,-83.337943,34.688735
2701,-83.337939,34.688729
2715,-83.337676,34.680093
2716,-83.334566,34.680911
2717,-83.332327,34.681298
2718,-83.331064,34.681413
2719,-83.328754,34.681287
2720,-83.328099,34.680765
2721,-83.327655,34.68041
2722,-83.324197,34.67877
2723,-83.322783,34.678183
2724,-83.321724,34.677743
2725,-83.320056,34.67655
2726,-83.319869,34.676332
2727,-83.318626,34.674881
2728,-83.318623,34.674878
2729,-83.318033,34.673205
2732,-83.317965,34.672281
2731,-83.317889,34.672738
2730,-83.317883,34.672777
2733,-83.317185,34.670431
2734,-83.317183,34.670427
2735,-83.317006,34.670206
2736,-83.316622,34.669724
2737,-83.316411,34.669459
2738,-83.315862,34.66902
2739,-83.31464,34.668887
2740,-83.314451,34.668949
2741,-83.310863,34.670116
2742,-83.30895,34.670413
2743,-83.307081,34.670494
2744,-83.305897,34.670079
2745,-83.305732,34.670004
2746,-83.30448,34.669429
2747,-83.304453,34.669416
2748,-83.304346,34.669319
2749,-83.30191,34.667101
2751,-83.301617,34.666833
2750,-83.301617,34.666834
2754,-83.301396,34.664409
2753,-83.301342,34.665118
2752,-83.301261,34.666163
2756,-83.301164,34.662995
2755,-83.301164,34.662997
2757,-83.300901,34.66265
2758,-83.300285,34.661843
2759,-83.299376,34.660652
2760,-83.293391,34.654567
2761,-83.29207,34.65316
2762,-83.291066,34.65305
2763,-83.29085,34.653026
2884,-83.288458,35.264275
2885,-83.28843,35.264664
2896,-83.28821,35.273005
2895,-83.288052,35.272866
2886,-83.288039,35.264893
2894,-83.287531,35.272345
2883,-83.287296,35.254316
2882,-83.287158,35.253354
2887,-83.286922,35.265075
2893,-83.286496,35.271599
2888,-83.286391,35.265441
2889,-83.286196,35.265876
2890,-83.285244,35.268599
2892,-83.285214,35.270293
2891,-83.28516,35.268919
2764,-83.281911,34.649775
2902,-83.281087,35.291259
2765,-83.281057,34.649302
2901,-83.281055,35.291106
2900,-83.281053,35.291098
2903,-83.281027,35.291411
2904,-83.280987,35.292731
2897,-83.2809,35.287461
2881,-83.280823,35.253258
2905,-83.280581,35.294237
2898,-83.280576,35.288128
2899,-83.280436,35.288185
2766,-83.280356,34.648847
2906,-83.280263,35.294526
2767,-83.279632,34.647985
2907,-83.279539,35.294526
2768,-83.279408,34.647718
2769,-83.279191,34.64746
2770,-83.279188,34.647456
2771,-83.278937,34.646495
2908,-83.278873,35.294584
2772,-83.278714,34.645638
2773,-83.278713,34.645636
2774,-83.278527,34.645402
2775,-83.278503,34.645372
2909,-83.278409,35.294497
2910,-83.277975,35.294179
2776,-83.277941,34.644667
2911,-83.277512,35.293513
2777,-83.27734,34.644568
2912,-83.277135,35.292789
2913,-83.277027,35.292594
2914,-83.276925,35.292561
